claimId,label_pred
pomt-00006,mostly false
pomt-00018,mostly false
pomt-00025,mostly false
pomt-00027,mostly true
pomt-00030,mostly false
pomt-00031,false
pomt-00033,false
pomt-00038,mostly false
pomt-00041,mostly false
pomt-00046,mostly false
pomt-00048,mostly false
pomt-00049,false
pomt-00051,pants on fire!
pomt-00065,false
pomt-00072,pants on fire!
pomt-00073,false
pomt-00078,mostly false
pomt-00079,mostly false
pomt-00089,mostly false
pomt-00090,mostly false
pomt-00092,mostly false
pomt-00094,mostly true
pomt-00098,false
pomt-00099,pants on fire!
pomt-00108,mostly false
pomt-00110,mostly false
pomt-00112,mostly false
pomt-00115,mostly false
pomt-00119,mostly false
pomt-00128,mostly false
pomt-00129,mostly false
pomt-00140,mostly true
pomt-00142,mostly false
pomt-00152,false
pomt-00162,false
pomt-00164,mostly true
pomt-00167,false
pomt-00172,false
pomt-00174,mostly false
pomt-00177,mostly false
pomt-00179,mostly false
pomt-00181,false
pomt-00183,mostly false
pomt-00189,mostly false
pomt-00192,mostly false
pomt-00198,false
pomt-00203,false
pomt-00212,mostly true
pomt-00216,mostly false
pomt-00224,mostly false
pomt-00232,pants on fire!
pomt-00238,mostly false
pomt-00251,pants on fire!
pomt-00257,mostly false
pomt-00258,mostly true
pomt-00263,false
pomt-00265,false
pomt-00268,mostly true
pomt-00276,false
pomt-00290,mostly false
pomt-00297,pants on fire!
pomt-00311,mostly false
pomt-00322,false
pomt-00327,mostly true
pomt-00328,pants on fire!
pomt-00329,mostly false
pomt-00333,mostly false
pomt-00335,mostly false
pomt-00336,mostly false
pomt-00337,false
pomt-00348,false
pomt-00349,mostly false
pomt-00360,mostly false
pomt-00362,mostly false
pomt-00379,mostly false
pomt-00395,mostly false
pomt-00399,half-true
pomt-00405,false
pomt-00409,mostly true
pomt-00412,mostly false
pomt-00425,pants on fire!
pomt-00426,mostly true
pomt-00428,mostly false
pomt-00430,mostly true
pomt-00432,mostly false
pomt-00444,mostly false
pomt-00446,mostly true
pomt-00451,mostly false
pomt-00462,pants on fire!
pomt-00463,mostly false
pomt-00465,mostly false
pomt-00467,mostly true
pomt-00475,false
pomt-00489,mostly true
pomt-00491,mostly true
pomt-00493,mostly false
pomt-00511,pants on fire!
pomt-00513,false
pomt-00524,mostly false
pomt-00530,mostly false
pomt-00533,mostly true
pomt-00537,mostly false
pomt-00539,mostly false
pomt-00540,mostly false
pomt-00543,pants on fire!
pomt-00554,mostly true
pomt-00569,mostly false
pomt-00572,mostly false
pomt-00581,mostly true
pomt-00587,mostly false
pomt-00595,mostly false
pomt-00600,mostly false
pomt-00607,mostly false
pomt-00608,mostly false
pomt-00610,mostly false
pomt-00612,mostly true
pomt-00616,mostly true
pomt-00627,mostly false
pomt-00628,mostly false
pomt-00650,mostly true
pomt-00653,mostly true
pomt-00659,false
pomt-00661,mostly true
pomt-00663,mostly false
pomt-00668,mostly false
pomt-00669,mostly false
pomt-00670,mostly false
pomt-00676,mostly false
pomt-00677,false
pomt-00680,mostly true
pomt-00689,mostly false
pomt-00694,mostly false
pomt-00703,mostly false
pomt-00705,false
pomt-00720,false
pomt-00729,false
pomt-00747,mostly false
pomt-00760,mostly false
pomt-00761,mostly false
pomt-00765,false
pomt-00767,mostly false
pomt-00769,mostly false
pomt-00770,mostly false
pomt-00781,mostly false
pomt-00787,mostly true
pomt-00793,false
pomt-00797,mostly false
pomt-00798,mostly false
pomt-00804,mostly false
pomt-00805,mostly true
pomt-00809,false
pomt-00812,mostly false
pomt-00818,mostly false
pomt-00824,mostly false
pomt-00833,false
pomt-00835,mostly true
pomt-00844,mostly false
pomt-00847,mostly true
pomt-00850,false
pomt-00856,mostly true
pomt-00861,false
pomt-00873,mostly false
pomt-00874,mostly false
pomt-00875,mostly true
pomt-00881,false
pomt-00882,mostly false
pomt-00894,false
pomt-00898,mostly false
pomt-00902,mostly true
pomt-00911,mostly false
pomt-00912,mostly true
pomt-00923,pants on fire!
pomt-00924,mostly false
pomt-00931,mostly false
pomt-00936,mostly false
pomt-00940,false
pomt-00949,mostly true
pomt-00950,pants on fire!
pomt-00952,mostly false
pomt-00963,mostly false
pomt-00965,mostly true
pomt-00969,mostly false
pomt-00971,mostly true
pomt-00975,mostly true
pomt-00978,mostly false
pomt-00983,mostly false
pomt-00990,mostly false
pomt-00991,false
pomt-00994,mostly false
pomt-00997,mostly false
pomt-01000,mostly false
pomt-01010,mostly true
pomt-01020,mostly false
pomt-01024,mostly false
pomt-01026,mostly false
pomt-01033,mostly true
pomt-01038,false
pomt-01052,mostly true
pomt-01054,false
pomt-01057,mostly true
pomt-01059,mostly false
pomt-01076,mostly false
pomt-01088,mostly false
pomt-01100,mostly false
pomt-01114,false
pomt-01118,mostly false
pomt-01123,mostly false
pomt-01126,mostly true
pomt-01131,false
pomt-01132,false
pomt-01136,mostly false
pomt-01141,half-true
pomt-01145,mostly false
pomt-01157,mostly false
pomt-01162,false
pomt-01164,mostly true
pomt-01178,mostly true
pomt-01184,mostly true
pomt-01186,false
pomt-01190,mostly false
pomt-01194,mostly false
pomt-01199,mostly false
pomt-01200,mostly false
pomt-01201,mostly true
pomt-01205,mostly true
pomt-01213,mostly true
pomt-01217,mostly false
pomt-01219,mostly false
pomt-01223,mostly false
pomt-01228,false
pomt-01235,mostly false
pomt-01237,mostly true
pomt-01238,mostly false
pomt-01241,true
pomt-01242,mostly false
pomt-01243,mostly true
pomt-01247,mostly false
pomt-01261,mostly false
pomt-01262,mostly false
pomt-01266,mostly false
pomt-01280,mostly true
pomt-01282,mostly false
pomt-01293,mostly false
pomt-01295,mostly false
pomt-01310,false
pomt-01312,false
pomt-01314,mostly false
pomt-01332,mostly true
pomt-01340,false
pomt-01341,false
pomt-01343,mostly true
pomt-01352,mostly false
pomt-01353,mostly true
pomt-01367,mostly true
pomt-01373,mostly false
pomt-01376,mostly false
pomt-01379,mostly false
pomt-01384,mostly false
pomt-01385,mostly false
pomt-01387,mostly true
pomt-01401,mostly true
pomt-01405,mostly false
pomt-01413,mostly false
pomt-01425,mostly false
pomt-01428,false
pomt-01430,mostly false
pomt-01431,mostly false
pomt-01436,mostly true
pomt-01448,true
pomt-01462,pants on fire!
pomt-01473,mostly false
pomt-01476,pants on fire!
pomt-01482,mostly false
pomt-01491,false
pomt-01496,mostly false
pomt-01498,mostly false
pomt-01502,mostly false
pomt-01504,mostly false
pomt-01510,pants on fire!
pomt-01511,mostly false
pomt-01513,mostly true
pomt-01519,mostly false
pomt-01521,mostly false
pomt-01522,mostly true
pomt-01524,pants on fire!
pomt-01531,mostly false
pomt-01539,false
pomt-01543,mostly true
pomt-01547,mostly false
pomt-01556,mostly false
pomt-01557,mostly false
pomt-01561,mostly false
pomt-01572,false
pomt-01578,mostly false
pomt-01580,mostly false
pomt-01583,mostly false
pomt-01584,false
pomt-01585,false
pomt-01587,mostly false
pomt-01590,mostly false
pomt-01594,false
pomt-01601,mostly false
pomt-01604,pants on fire!
pomt-01631,mostly true
pomt-01636,mostly false
pomt-01654,false
pomt-01660,mostly true
pomt-01665,mostly false
pomt-01671,mostly false
pomt-01673,mostly true
pomt-01674,false
pomt-01682,false
pomt-01683,mostly false
pomt-01686,mostly false
pomt-01696,mostly false
pomt-01700,mostly true
pomt-01702,mostly false
pomt-01703,false
pomt-01711,false
pomt-01715,mostly true
pomt-01719,mostly true
pomt-01730,mostly false
pomt-01740,mostly true
pomt-01745,mostly false
pomt-01747,mostly false
pomt-01751,mostly false
pomt-01762,mostly false
pomt-01764,mostly false
pomt-01765,true
pomt-01772,mostly false
pomt-01773,mostly true
pomt-01775,mostly false
pomt-01776,mostly false
pomt-01778,mostly false
pomt-01780,mostly false
pomt-01793,mostly false
pomt-01801,false
pomt-01803,mostly false
pomt-01804,mostly true
pomt-01808,mostly true
pomt-01809,mostly false
pomt-01816,mostly false
pomt-01817,false
pomt-01823,mostly true
pomt-01838,mostly false
pomt-01841,mostly true
pomt-01843,pants on fire!
pomt-01846,mostly false
pomt-01851,mostly false
pomt-01865,mostly false
pomt-01869,mostly true
pomt-01875,false
pomt-01877,mostly false
pomt-01878,pants on fire!
pomt-01891,mostly true
pomt-01904,mostly false
pomt-01909,mostly false
pomt-01914,mostly false
pomt-01918,mostly false
pomt-01921,mostly false
pomt-01925,mostly false
pomt-01928,false
pomt-01929,mostly false
pomt-01930,mostly false
pomt-01937,mostly false
pomt-01943,mostly false
pomt-01950,mostly false
pomt-01957,false
pomt-01968,mostly false
pomt-01978,mostly false
pomt-01979,mostly false
pomt-01987,false
pomt-01990,mostly false
pomt-01999,mostly false
pomt-02000,mostly false
pomt-02005,mostly true
pomt-02006,pants on fire!
pomt-02007,mostly false
pomt-02009,mostly false
pomt-02010,mostly false
pomt-02015,mostly false
pomt-02029,mostly true
pomt-02041,false
pomt-02045,false
pomt-02049,mostly false
pomt-02055,false
pomt-02056,mostly false
pomt-02067,false
pomt-02074,mostly true
pomt-02076,mostly false
pomt-02078,false
pomt-02086,mostly false
pomt-02108,mostly false
pomt-02118,false
pomt-02133,mostly false
pomt-02137,false
pomt-02157,pants on fire!
pomt-02165,pants on fire!
pomt-02170,false
pomt-02175,mostly true
pomt-02176,mostly false
pomt-02181,false
pomt-02184,mostly true
pomt-02187,mostly true
pomt-02189,mostly false
pomt-02196,false
pomt-02198,mostly true
pomt-02202,mostly false
pomt-02212,mostly false
pomt-02217,mostly false
pomt-02218,mostly true
pomt-02221,mostly false
pomt-02222,mostly false
pomt-02228,mostly true
pomt-02233,mostly false
pomt-02241,mostly true
pomt-02242,mostly false
pomt-02251,false
pomt-02255,mostly false
pomt-02257,mostly false
pomt-02263,mostly false
pomt-02273,mostly false
pomt-02281,mostly false
pomt-02282,false
pomt-02290,mostly false
pomt-02306,false
pomt-02308,false
pomt-02312,mostly false
pomt-02314,mostly false
pomt-02320,pants on fire!
pomt-02322,false
pomt-02331,mostly true
pomt-02338,mostly false
pomt-02341,mostly false
pomt-02350,mostly false
pomt-02353,false
pomt-02356,mostly true
pomt-02357,mostly false
pomt-02359,false
pomt-02364,mostly false
pomt-02367,mostly false
pomt-02377,false
pomt-02381,mostly false
pomt-02388,false
pomt-02390,mostly false
pomt-02394,mostly true
pomt-02399,mostly false
pomt-02403,mostly false
pomt-02410,mostly true
pomt-02412,false
pomt-02414,mostly false
pomt-02422,mostly true
pomt-02436,mostly false
pomt-02437,mostly false
pomt-02439,mostly false
pomt-02448,mostly false
pomt-02449,pants on fire!
pomt-02453,mostly false
pomt-02454,mostly true
pomt-02458,mostly false
pomt-02459,false
pomt-02461,mostly false
pomt-02464,mostly false
pomt-02467,mostly false
pomt-02486,false
pomt-02490,mostly false
pomt-02494,mostly false
pomt-02501,mostly false
pomt-02506,pants on fire!
pomt-02509,mostly false
pomt-02511,false
pomt-02512,mostly false
pomt-02535,mostly false
pomt-02553,mostly false
pomt-02567,mostly false
pomt-02568,mostly true
pomt-02572,mostly false
pomt-02584,mostly false
pomt-02598,mostly true
pomt-02602,false
pomt-02621,mostly false
pomt-02637,mostly false
pomt-02638,false
pomt-02644,mostly false
pomt-02646,mostly false
pomt-02650,mostly false
pomt-02651,false
pomt-02652,mostly false
pomt-02657,mostly false
pomt-02663,mostly true
pomt-02671,mostly false
pomt-02676,mostly true
pomt-02680,false
pomt-02681,mostly false
pomt-02683,mostly false
pomt-02692,mostly false
pomt-02696,mostly false
pomt-02699,mostly false
pomt-02702,mostly true
pomt-02704,mostly true
pomt-02705,mostly false
pomt-02708,mostly false
pomt-02710,mostly false
pomt-02722,false
pomt-02724,mostly true
pomt-02725,mostly false
pomt-02731,mostly false
pomt-02748,mostly false
pomt-02753,false
pomt-02756,mostly true
pomt-02760,false
pomt-02765,mostly false
pomt-02776,mostly true
pomt-02781,mostly true
pomt-02788,mostly true
pomt-02792,half-true
pomt-02795,mostly true
pomt-02796,mostly false
pomt-02797,false
pomt-02799,mostly false
pomt-02809,mostly true
pomt-02817,false
pomt-02821,mostly false
pomt-02826,mostly false
pomt-02838,mostly true
pomt-02840,mostly false
pomt-02843,false
pomt-02846,mostly false
pomt-02848,false
pomt-02853,mostly false
pomt-02854,mostly true
pomt-02860,mostly false
pomt-02869,false
pomt-02879,mostly false
pomt-02880,mostly false
pomt-02885,mostly false
pomt-02890,half-true
pomt-02892,mostly false
pomt-02893,mostly false
pomt-02894,mostly false
pomt-02898,mostly false
pomt-02901,mostly true
pomt-02905,mostly false
pomt-02916,mostly false
pomt-02917,mostly false
pomt-02924,false
pomt-02925,mostly false
pomt-02951,pants on fire!
pomt-02952,false
pomt-02955,false
pomt-02958,mostly false
pomt-02960,mostly false
pomt-02962,mostly false
pomt-02964,false
pomt-02981,mostly false
pomt-02983,false
pomt-02991,mostly false
pomt-02992,mostly false
pomt-03001,mostly false
pomt-03005,mostly false
pomt-03038,mostly false
pomt-03045,mostly true
pomt-03047,mostly true
pomt-03050,mostly false
pomt-03051,mostly false
pomt-03052,mostly true
pomt-03059,mostly false
pomt-03067,mostly false
pomt-03080,mostly false
pomt-03083,false
pomt-03086,mostly true
pomt-03088,mostly false
pomt-03101,mostly true
pomt-03112,half-true
pomt-03113,mostly false
pomt-03116,pants on fire!
pomt-03127,mostly false
pomt-03133,mostly true
pomt-03139,mostly false
pomt-03142,false
pomt-03145,mostly false
pomt-03149,mostly true
pomt-03150,half-true
pomt-03173,false
pomt-03174,mostly true
pomt-03180,mostly false
pomt-03183,mostly false
pomt-03186,pants on fire!
pomt-03195,mostly false
pomt-03212,mostly false
pomt-03213,mostly false
pomt-03217,false
pomt-03228,pants on fire!
pomt-03229,mostly true
pomt-03233,mostly false
pomt-03237,mostly false
pomt-03239,mostly false
pomt-03246,mostly false
pomt-03265,mostly false
pomt-03269,mostly false
pomt-03277,pants on fire!
pomt-03283,false
pomt-03297,mostly false
pomt-03309,mostly false
pomt-03311,mostly false
pomt-03312,mostly true
pomt-03333,mostly false
pomt-03336,mostly false
pomt-03339,mostly false
pomt-03352,mostly true
pomt-03357,pants on fire!
pomt-03360,mostly false
pomt-03368,mostly true
pomt-03373,mostly true
pomt-03374,mostly false
pomt-03404,false
pomt-03405,mostly true
pomt-03407,mostly false
pomt-03424,mostly false
pomt-03433,mostly true
pomt-03440,mostly false
pomt-03442,mostly false
pomt-03447,mostly true
pomt-03449,mostly false
pomt-03455,mostly true
pomt-03464,mostly false
pomt-03468,mostly false
pomt-03470,mostly false
pomt-03471,mostly false
pomt-03474,mostly false
pomt-03475,mostly false
pomt-03478,mostly false
pomt-03479,mostly false
pomt-03490,pants on fire!
pomt-03492,mostly false
pomt-03495,mostly true
pomt-03498,false
pomt-03502,mostly false
pomt-03503,mostly false
pomt-03512,half-true
pomt-03516,mostly false
pomt-03527,mostly false
pomt-03531,mostly false
pomt-03534,mostly true
pomt-03539,mostly false
pomt-03551,mostly false
pomt-03560,mostly false
pomt-03561,mostly false
pomt-03564,mostly false
pomt-03567,half-true
pomt-03570,mostly false
pomt-03572,mostly false
pomt-03573,half-true
pomt-03576,mostly true
pomt-03581,mostly true
pomt-03588,mostly false
pomt-03600,pants on fire!
pomt-03601,mostly false
pomt-03604,mostly false
pomt-03606,mostly true
pomt-03614,mostly false
pomt-03623,mostly true
pomt-03634,mostly false
pomt-03636,false
pomt-03655,mostly false
pomt-03657,mostly false
pomt-03661,mostly true
pomt-03663,mostly false
pomt-03666,mostly true
pomt-03676,mostly false
pomt-03678,mostly false
pomt-03680,mostly false
pomt-03682,mostly false
pomt-03690,mostly false
pomt-03704,mostly true
pomt-03707,false
pomt-03712,mostly false
pomt-03713,true
pomt-03727,mostly false
pomt-03728,mostly false
pomt-03744,mostly false
pomt-03747,mostly false
pomt-03748,mostly false
pomt-03751,mostly false
pomt-03756,mostly false
pomt-03763,mostly false
pomt-03773,mostly true
pomt-03797,mostly true
pomt-03803,mostly true
pomt-03804,false
pomt-03815,mostly false
pomt-03816,false
pomt-03817,mostly true
pomt-03818,pants on fire!
pomt-03826,mostly false
pomt-03829,mostly false
pomt-03836,mostly false
pomt-03843,false
pomt-03851,mostly true
pomt-03855,false
pomt-03859,mostly false
pomt-03864,false
pomt-03866,mostly false
pomt-03868,mostly false
pomt-03877,mostly false
pomt-03883,mostly false
pomt-03887,false
pomt-03895,mostly false
pomt-03909,mostly false
pomt-03918,false
pomt-03920,mostly false
pomt-03922,pants on fire!
pomt-03927,mostly false
pomt-03929,mostly false
pomt-03937,mostly false
pomt-03942,mostly true
pomt-03950,mostly false
pomt-03957,mostly false
pomt-03958,false
pomt-03965,mostly false
pomt-03971,mostly false
pomt-03978,mostly true
pomt-03983,mostly true
pomt-03992,mostly false
pomt-03997,mostly true
pomt-04000,mostly false
pomt-04024,mostly false
pomt-04031,mostly true
pomt-04038,mostly false
pomt-04040,false
pomt-04042,mostly false
pomt-04048,mostly true
pomt-04049,mostly false
pomt-04068,mostly true
pomt-04071,false
pomt-04073,false
pomt-04075,false
pomt-04076,half-true
pomt-04083,mostly true
pomt-04088,mostly false
pomt-04090,mostly false
pomt-04092,mostly true
pomt-04103,false
pomt-04109,mostly false
pomt-04112,false
pomt-04119,mostly true
pomt-04121,mostly false
pomt-04122,mostly false
pomt-04127,mostly false
pomt-04149,mostly true
pomt-04159,mostly true
pomt-04160,mostly false
pomt-04164,mostly false
pomt-04169,mostly false
pomt-04173,pants on fire!
pomt-04177,mostly false
pomt-04182,mostly true
pomt-04184,mostly false
pomt-04187,mostly false
pomt-04218,mostly true
pomt-04231,mostly true
pomt-04233,mostly true
pomt-04236,false
pomt-04238,mostly false
pomt-04239,mostly true
pomt-04243,mostly false
pomt-04246,mostly false
pomt-04251,mostly false
pomt-04269,mostly false
pomt-04272,mostly false
pomt-04279,mostly false
pomt-04283,pants on fire!
pomt-04292,mostly false
pomt-04298,false
pomt-04301,mostly false
pomt-04302,mostly true
pomt-04303,false
pomt-04305,mostly true
pomt-04316,mostly false
pomt-04319,mostly false
pomt-04341,false
pomt-04352,mostly false
pomt-04357,mostly false
pomt-04361,false
pomt-04365,mostly false
pomt-04369,mostly false
pomt-04372,pants on fire!
pomt-04375,mostly true
pomt-04376,pants on fire!
pomt-04377,mostly false
pomt-04388,true
pomt-04393,mostly false
pomt-04394,pants on fire!
pomt-04398,mostly false
pomt-04405,mostly false
pomt-04417,mostly true
pomt-04419,mostly false
pomt-04427,mostly false
pomt-04429,mostly false
pomt-04441,false
pomt-04447,pants on fire!
pomt-04448,mostly false
pomt-04449,false
pomt-04454,mostly false
pomt-04459,mostly true
pomt-04470,mostly false
pomt-04476,mostly false
pomt-04480,mostly false
pomt-04481,mostly false
pomt-04486,mostly true
pomt-04496,false
pomt-04502,mostly false
pomt-04515,mostly true
pomt-04525,mostly true
pomt-04543,false
pomt-04544,mostly false
pomt-04549,mostly true
pomt-04557,mostly false
pomt-04558,false
pomt-04560,false
pomt-04572,mostly false
pomt-04573,mostly false
pomt-04574,mostly false
pomt-04575,mostly false
pomt-04577,mostly true
pomt-04590,mostly false
pomt-04596,mostly true
pomt-04597,false
pomt-04604,false
pomt-04614,half-true
pomt-04621,mostly false
pomt-04644,mostly false
pomt-04648,pants on fire!
pomt-04658,mostly true
pomt-04667,false
pomt-04670,mostly false
pomt-04671,mostly false
pomt-04672,mostly true
pomt-04690,mostly false
pomt-04694,mostly false
pomt-04701,mostly false
pomt-04710,mostly false
pomt-04714,mostly false
pomt-04729,mostly false
pomt-04736,false
pomt-04745,mostly false
pomt-04747,mostly false
pomt-04748,mostly false
pomt-04750,mostly false
pomt-04751,mostly false
pomt-04752,mostly false
pomt-04769,mostly false
pomt-04794,mostly false
pomt-04795,mostly true
pomt-04805,mostly false
pomt-04806,mostly true
pomt-04814,half-true
pomt-04816,false
pomt-04826,pants on fire!
pomt-04831,mostly false
pomt-04833,pants on fire!
pomt-04836,mostly false
pomt-04857,true
pomt-04859,mostly false
pomt-04865,mostly false
pomt-04866,false
pomt-04873,mostly false
pomt-04875,false
pomt-04880,mostly true
pomt-04884,mostly false
pomt-04896,mostly false
pomt-04898,false
pomt-04900,mostly false
pomt-04903,mostly false
pomt-04908,false
pomt-04913,mostly false
pomt-04920,mostly false
pomt-04921,false
pomt-04933,mostly false
pomt-04935,mostly false
pomt-04940,mostly false
pomt-04944,mostly true
pomt-04960,false
pomt-04961,mostly false
pomt-04968,mostly false
pomt-04974,mostly true
pomt-04994,mostly false
pomt-04999,false
pomt-05004,mostly true
pomt-05023,mostly false
pomt-05025,mostly false
pomt-05027,mostly false
pomt-05028,mostly false
pomt-05031,mostly false
pomt-05038,false
pomt-05043,false
pomt-05045,mostly false
pomt-05050,mostly false
pomt-05052,mostly false
pomt-05058,mostly true
pomt-05063,mostly false
pomt-05088,mostly false
